,GP,sent_to_AS,career-years,avg-all-star
aaronha01,24.0,25.0,22.49041095890411,1.1115848459008404
aasedo01,1.0,1.0,13.197260273972603,0.07577330288561346
abreubo01,2.0,2.0,18.084931506849315,0.11058930465081047
abreujo02,1.0,1.0,2.5095890410958903,0.39847161572052403
adamsac01,0.0,1.0,5.027397260273973,0.1989100817438692
adcocjo01,2.0,2.0,16.45205479452055,0.12156536219816819
ageeto01,2.0,2.0,11.052054794520547,0.18096182449181955
aguilri01,3.0,3.0,15.246575342465754,0.1967654986522911
aguirha01,1.0,2.0,14.797260273972602,0.1351601555267543
alexado01,0.0,1.0,18.268493150684932,0.054739052189562085
alfoned01,1.0,1.0,11.134246575342466,0.08981299212598425
allendi01,6.0,7.0,13.802739726027397,0.5071456927352124
allenjo02,1.0,1.0,12.446575342465753,0.0803433854281312
alleyge01,1.0,2.0,10.07123287671233,0.1985854189336235
allisbo01,2.0,3.0,12.043835616438356,0.24909008189262966
alomaro01,12.0,12.0,16.383561643835616,0.7324414715719063
alomasa01,1.0,1.0,14.04931506849315,0.07117784711388456
alomasa02,6.0,6.0,19.01095890410959,0.3156074362300043
aloufe01,2.0,3.0,15.887671232876713,0.18882565959648215
alouma01,2.0,2.0,13.742465753424657,0.14553429027113238
aloumo01,6.0,6.0,17.887671232876713,0.3354265584316128
altmage01,3.0,3.0,8.479452054794521,0.35379644588045234
altuvjo01,4.0,4.0,5.208219178082191,0.7680168332456603
alvarhe01,0.0,1.0,3.7835616438356166,0.26430123099203473
alvarpe01,1.0,1.0,6.298630136986302,0.15876468029578078
alvarwi01,1.0,1.0,16.19178082191781,0.06175972927241962
alvisma01,2.0,2.0,8.04931506849315,0.24846834581347857
anderbr01,3.0,3.0,14.134246575342466,0.21225043613103314
anderga01,3.0,3.0,16.03835616438356,0.18705158865732832
andremi01,1.0,1.0,7.035616438356165,0.14213395638629284
andrena01,0.0,1.0,9.150684931506849,0.10928143712574852
andruel01,2.0,2.0,7.495890410958904,0.266812865497076
andujjo01,1.0,4.0,12.487671232876712,0.3203159280386134
antonjo02,3.0,6.0,13.178082191780822,0.45530145530145527
aparilu01,10.0,13.0,17.46027397260274,0.7445473089596737
appieke01,1.0,1.0,14.895890410958904,0.06713260989516277
applilu01,4.0,7.0,20.07123287671233,0.34875784875784877
archech01,1.0,1.0,4.279452054794521,0.23367477592829702
arenano01,2.0,2.0,3.4328767123287673,0.5826017557861133
armasto01,1.0,2.0,13.076712328767123,0.15294364131573435
armstja01,1.0,1.0,5.824657534246575,0.17168391345249295
arnovmo01,0.0,1.0,9.605479452054794,0.10410724472333144
arrieja01,0.0,1.0,6.306849315068493,0.1585577758470895
arrojro01,1.0,1.0,4.47945205479452,0.22324159021406728
arroybr01,1.0,1.0,14.016438356164384,0.07134480062548866
arroylu01,0.0,2.0,8.10958904109589,0.2466216216216216
ashburi01,4.0,6.0,14.454794520547946,0.4150871872630781
ashbyan01,2.0,2.0,13.273972602739725,0.15067079463364294
atwelto01,0.0,1.0,4.457534246575342,0.22433927473878304
aurilri01,1.0,1.0,14.087671232876712,0.07098405289770518
ausmubr01,1.0,1.0,17.194520547945206,0.05815806246016571
averiea01,5.0,6.0,12.032876712328767,0.49863387978142076
averyst01,1.0,1.0,13.10958904109589,0.07628004179728318
avilaal01,1.0,1.0,7.161643835616438,0.1396327467482785
avilabo01,3.0,3.0,10.421917808219177,0.2878548895899054
aybarer01,1.0,1.0,10.386301369863014,0.09628066473226062
azcuejo01,1.0,1.0,12.164383561643836,0.0822072072072072
baergca01,3.0,3.0,15.473972602739726,0.19387393767705383
baezda01,0.0,1.0,10.180821917808219,0.09822389666307858
bagbyji02,0.0,2.0,9.443835616438356,0.2117783579924572
bagweje01,4.0,4.0,14.495890410958904,0.2759402759402759
bailean01,1.0,2.0,7.495890410958904,0.266812865497076
baileed01,4.0,6.0,12.58904109589041,0.47660500544069645
baineha01,6.0,6.0,21.47945205479452,0.27933673469387754
bakerdu01,2.0,2.0,18.084931506849315,0.11058930465081047
bakerge02,1.0,1.0,7.726027397260274,0.12943262411347517
baldwja01,1.0,1.0,10.424657534246576,0.09592641261498029
balfogr01,1.0,1.0,13.747945205479452,0.07273814268632922
bandosa01,3.0,4.0,15.093150684931507,0.26502087493192955
bankser01,13.0,14.0,18.035616438356165,0.7762418350296217
bannifl01,1.0,1.0,15.32054794520548,0.06527181688125894
barbest01,0.0,2.0,14.284931506849315,0.14000767165324127
barfije01,1.0,1.0,10.794520547945206,0.09263959390862944
barkele01,1.0,1.0,11.038356164383561,0.09059319930503848
barrere01,0.0,1.0,12.046575342465754,0.08301114396179213
bartedi01,2.0,2.0,18.654794520547945,0.10721104420619768
bartlja01,1.0,1.0,9.67945205479452,0.10331163317294084
basske01,1.0,1.0,13.487671232876712,0.07414178346536665
batisto01,2.0,2.0,11.331506849315069,0.1764990328820116
batteea01,5.0,5.0,12.054794520547945,0.4147727272727273
bauerha01,3.0,3.0,12.87945205479452,0.23292916400765795
bautijo02,5.0,6.0,12.504109589041096,0.4798422436459246
bayja01,2.0,3.0,10.183561643835617,0.294592413236481
baylodo01,1.0,1.0,18.04931506849315,0.05540376442015786
beckegl01,4.0,4.0,10.046575342465754,0.39814562312517043
beckejo02,1.0,3.0,12.92054794520548,0.2321882951653944
beckro01,2.0,3.0,13.284931506849315,0.22581975665085585
bedrost01,1.0,1.0,13.994520547945205,0.07145653876272513
belanma01,1.0,1.0,17.164383561643834,0.05826017557861134
bellbe01,0.0,1.0,6.383561643835616,0.15665236051502146
bellbu01,5.0,5.0,17.183561643835617,0.29097576530612246
belleal01,4.0,5.0,11.221917808219178,0.445556640625
bellga01,2.0,4.0,11.29041095890411,0.3542829410337297
bellge02,3.0,3.0,12.490410958904109,0.24018425093222198
bellgu01,4.0,4.0,13.931506849315069,0.2871189773844641
bellhe01,3.0,3.0,9.695890410958905,0.3094094376942639
belliro01,1.0,1.0,11.991780821917809,0.08339045007996344
bellja01,2.0,2.0,17.008219178082193,0.11759020618556701
beltbr01,1.0,1.0,5.512328767123288,0.18141153081510936
beltrad01,4.0,4.0,18.28767123287671,0.21872659176029963
beltrca01,8.0,9.0,18.063013698630137,0.4982557257697558
benchjo01,12.0,14.0,16.0986301369863,0.869639210347175
benedbr01,2.0,2.0,11.073972602739726,0.1806036615536863
benesan01,1.0,1.0,13.142465753424657,0.07608922243068585
benitar01,0.0,2.0,13.868493150684932,0.1442117740023706
bentoal01,1.0,2.0,18.44109589041096,0.10845342445401872
bereja01,1.0,1.0,10.005479452054795,0.09994523548740417
bergewa01,3.0,4.0,10.227397260273973,0.39110634878114114
berkmla01,6.0,6.0,14.183561643835617,0.42302491790612323
berrayo01,15.0,18.0,18.64109589041096,0.9656084656084656
berryke01,1.0,1.0,12.73150684931507,0.07854529804174736
betande01,2.0,3.0,5.03013698630137,0.5964052287581699
bettsmo01,1.0,1.0,2.263013698630137,0.4418886198547216
bibbyji01,1.0,1.0,11.73150684931507,0.08524054180289584
bicheda01,4.0,4.0,13.093150684931507,0.3055032433563507
bickfve01,1.0,1.0,6.002739726027397,0.16659059790050204
biggicr01,7.0,7.0,19.273972602739725,0.36318407960199006
billich01,1.0,1.0,9.095890410958905,0.10993975903614457
billija01,0.0,1.0,12.2,0.0819672131147541
blackch02,1.0,1.0,5.326027397260274,0.18775720164609053
blackew01,6.0,6.0,13.0,0.46153846153846156
blairpa01,2.0,2.0,15.789041095890411,0.12667013708138122
blaloha01,2.0,2.0,8.243835616438357,0.24260551678298437
blantcy01,1.0,2.0,7.6219178082191785,0.26240115025161753
blasido01,1.0,1.0,10.942465753424658,0.0913870806209314
blassst01,1.0,1.0,9.942465753424658,0.10057867181041609
blausje01,2.0,2.0,12.254794520547945,0.16320143080706462
bluegos01,1.0,1.0,17.23013698630137,0.05803784385434886
bluevi01,4.0,6.0,17.213698630136985,0.34855960528409996
blylebe01,2.0,2.0,22.34794520547945,0.08949368640431532
bochtbr01,1.0,1.0,12.221917808219178,0.08182021968168572
boddimi01,0.0,1.0,12.698630136986301,0.07874865156418555
bogaexa01,1.0,1.0,3.1205479452054794,0.32045654082528535
boggswa01,12.0,12.0,17.39178082191781,0.6899810964083175
bollifr01,4.0,4.0,12.432876712328767,0.32172763331864257
bondsba01,13.0,14.0,21.339726027397262,0.6560534086532288
bondsbo01,3.0,3.0,13.284931506849315,0.22581975665085585
bonesri01,0.0,1.0,10.158904109589042,0.09843581445523193
bonhati01,0.0,2.0,9.065753424657535,0.22061045633121787
bonilbo01,6.0,6.0,15.506849315068493,0.38692579505300356
booneaa01,1.0,1.0,12.2986301369863,0.08130986856760972
boonebo01,4.0,4.0,18.057534246575344,0.2215141860112274
boonebr01,2.0,3.0,12.953424657534246,0.23159898477157362
boonera01,2.0,2.0,11.945205479452055,0.16743119266055045
bordimi01,1.0,1.0,13.473972602739726,0.07421716144774299
borowha01,1.0,2.0,9.413698630136986,0.21245634458672877
bottari01,1.0,1.0,10.98904109589041,0.09099975068561457
botteke01,1.0,1.0,8.931506849315069,0.11196319018404907
boudrlo01,5.0,8.0,13.967123287671233,0.5727736367202825
bournmi01,2.0,2.0,10.183561643835617,0.19639494215765402
boutoji01,1.0,1.0,16.44931506849315,0.06079280479680214
bowala01,5.0,5.0,15.509589041095891,0.3223812047341459
boxbebr01,,1.0,4.315068493150685,0.23174603174603176
boyerke01,10.0,11.0,14.336986301369864,0.7672463214217465
brachbr01,0.0,1.0,5.090410958904109,0.19644779332615717
bradlja02,1.0,1.0,3.506849315068493,0.28515625
bradlmi01,1.0,1.0,10.808219178082192,0.09252217997465145
bradlph01,1.0,1.0,7.079452054794521,0.14125386996904024
brancra01,1.0,3.0,12.246575342465754,0.24496644295302014
brandja01,1.0,2.0,11.372602739726027,0.175861238255842
brantje01,1.0,1.0,12.805479452054794,0.0780915703893881
brantmi02,1.0,1.0,6.69041095890411,0.14946764946764945
braunry02,5.0,6.0,9.361643835616439,0.6409130816505706
brechha01,1.0,2.0,13.402739726027397,0.1492232215862633
brenlbo01,1.0,1.0,8.136986301369863,0.1228956228956229
bressed01,0.0,1.0,11.29041095890411,0.08857073525843243
brettge01,10.0,13.0,20.183561643835617,0.6440885027826795
brettke01,1.0,1.0,14.027397260273972,0.0712890625
breweji01,1.0,1.0,15.863013698630137,0.06303972366148532
breweto01,1.0,1.0,7.449315068493151,0.13424052960647295
bridgro01,0.0,1.0,10.465753424657533,0.09554973821989529
bridgto01,2.0,6.0,15.945205479452055,0.37628865979381443
brinked01,1.0,1.0,14.068493150684931,0.07108081791626096
brisslo01,1.0,1.0,5.931506849315069,0.16859122401847573
brittza01,2.0,2.0,5.504109589041096,0.3633648581383773
brocklo01,5.0,6.0,18.065753424657533,0.33212010919017293
brookhu01,2.0,2.0,13.832876712328767,0.14458308575955633
brosisc01,1.0,1.0,10.172602739726027,0.0983032588203609
brownch02,1.0,1.0,4.701369863013698,0.21270396270396272
browndo01,1.0,1.0,5.101369863013699,0.19602577873254565
brownji03,1.0,1.0,9.402739726027397,0.10635198135198136
brownke01,5.0,6.0,18.824657534246576,0.31873089797700477
brownma01,1.0,1.0,11.315068493150685,0.08837772397094432
brownto05,0.0,1.0,10.695890410958905,0.09349385245901638
broxtjo01,1.0,2.0,11.186301369863013,0.17879010531471956
bruceja01,3.0,3.0,8.356164383561644,0.3590163934426229
brunato01,1.0,1.0,13.345205479452055,0.07493327858755902
bryankr01,2.0,2.0,1.463013698630137,1.3670411985018727
buchhcl01,0.0,2.0,9.123287671232877,0.21921921921921922
buckjo01,1.0,1.0,10.265753424657534,0.0974112623432079
bucknbi01,1.0,1.0,20.7013698630137,0.04830598200105876
buehrma01,3.0,5.0,15.227397260273973,0.3283555235696294
bufordo01,1.0,1.0,9.06027397260274,0.11037193831267009
buhlbo01,1.0,2.0,14.043835616438356,0.14241123683183768
buhneja01,1.0,1.0,14.082191780821917,0.07101167315175097
bumbral01,1.0,1.0,13.09041095890411,0.07639179573043114
bumgama01,1.0,4.0,7.065753424657534,0.5661108956960063
bunniji01,8.0,9.0,16.134246575342466,0.5578196637799286
burdele01,2.0,3.0,16.813698630136987,0.17842594101352452
burgesm01,7.0,9.0,18.46301369863014,0.48746104763317993
burgmto01,0.0,1.0,16.397260273972602,0.060985797827903095
burkejo03,2.0,2.0,16.041095890410958,0.1246797608881298
burketi01,1.0,1.0,7.463013698630137,0.13399412628487517
burksel01,1.0,2.0,17.438356164383563,0.11468970934799684
burleri01,3.0,4.0,13.186301369863013,0.30334510700186995
burneaj01,,1.0,16.13972602739726,0.06195892038703107
burnije01,1.0,1.0,13.276712328767124,0.07531985142385472
burnsbr01,0.0,1.0,7.158904109589041,0.13968618446230388
burroje01,1.0,2.0,15.224657534246575,0.13136584488033112
busbyji01,1.0,1.0,12.216438356164383,0.08185691859161247
busbyst01,1.0,2.0,7.96986301369863,0.2509453420419388
butlebi03,1.0,1.0,9.43013698630137,0.10604299825682742
butlebr01,1.0,1.0,16.117808219178084,0.062043175250722414
byrdma01,1.0,1.0,13.736986301369862,0.07279617072197847
byrdpa01,0.0,1.0,14.194520547945206,0.07044972013124878
byrneto01,0.0,1.0,14.413698630136986,0.06937844516251664
cabreas01,2.0,2.0,9.158904109589042,0.21836673646425364
cabreev01,0.0,1.0,6.158904109589041,0.16236654804270464
cabreme01,1.0,1.0,11.246575342465754,0.08891595615103533
cabremi01,10.0,11.0,13.295890410958904,0.8273233051720585
cahiltr01,0.0,1.0,7.487671232876712,0.13355287230150018
cainlo01,1.0,1.0,6.156164383561644,0.16243880729862037
cainma01,1.0,3.0,11.07123287671233,0.2709725315515961
caldeiv01,1.0,1.0,9.153424657534247,0.10924872792577073
callijo01,3.0,4.0,14.947945205479453,0.26759530791788855
camermi01,1.0,1.0,16.054794520547944,0.062286689419795226
camildo01,1.0,2.0,12.046575342465754,0.16602228792358426
caminke01,3.0,3.0,14.238356164383562,0.21069847989224552
campabe01,5.0,6.0,19.202739726027396,0.3124554144671137
camparo01,7.0,8.0,9.449315068493151,0.8466222093360394
campbbi02,1.0,1.0,13.802739726027397,0.07244938467645891
candejo01,0.0,1.0,18.09315068493151,0.0552695336159903
cannich01,0.0,1.0,14.457534246575342,0.0691680879287474
canoro01,6.0,7.0,11.424657534246576,0.6127098321342925
cansejo01,2.0,6.0,16.104109589041094,0.37257570602245665
cappsma01,1.0,1.0,7.027397260273973,0.14230019493177387
caprabu01,0.0,1.0,6.035616438356165,0.16568315932818883
capuach01,0.0,1.0,13.068493150684931,0.07651991614255765
cardele01,4.0,5.0,15.180821917808219,0.3293629308789027
carewro01,15.0,18.0,18.4986301369863,0.9730450236966826
carltst01,5.0,10.0,23.046575342465754,0.43390394674274846
carmofa01,0.0,1.0,10.331506849315069,0.0967913020418987
carpech01,1.0,3.0,15.402739726027397,0.19477054429028817
carpema01,1.0,3.0,5.3342465753424655,0.5624036979969184
carrach01,4.0,4.0,9.438356164383562,0.42380261248185774
carrocl02,0.0,2.0,14.087671232876712,0.14196810579541036
cartega01,10.0,11.0,18.043835616438358,0.6096264804129972
cartejo01,5.0,5.0,15.175342465753424,0.3294818559306734
cartela02,0.0,1.0,6.698630136986301,0.14928425357873212
cartyri01,1.0,1.0,16.03287671232877,0.062371838687628155
casanpa01,0.0,1.0,8.98082191780822,0.1113483831604637
casege01,1.0,4.0,9.906849315068493,0.40376106194690264
caseyse01,2.0,3.0,11.052054794520547,0.27144273673772934
cashda01,3.0,3.0,11.068493150684931,0.27103960396039606
cashno01,5.0,5.0,16.145205479452056,0.30968946207364667
castilu01,3.0,3.0,14.161643835616438,0.2118398142774231
castivi02,2.0,2.0,15.084931506849315,0.1325826371231384
castrja01,0.0,1.0,6.279452054794521,0.15924956369982546
castrst01,3.0,3.0,6.4082191780821915,0.46814878153056866
caudibi01,1.0,1.0,8.216438356164383,0.12170723574524842
cavarph01,3.0,4.0,20.654794520547945,0.19365963655657248
cecilbr01,1.0,1.0,7.416438356164384,0.13483561137790911
cedence01,4.0,4.0,15.961643835616439,0.25060075523515274
cepedor01,9.0,11.0,16.44109589041096,0.6690551574737543
cervbo01,1.0,1.0,11.0,0.09090909090909091
cespeyo01,1.0,2.0,4.515068493150685,0.44296116504854366
ceyro01,6.0,6.0,15.865753424657534,0.3781730271110344
chacosh01,0.0,1.0,7.145205479452055,0.13995398773006135
chalkda01,1.0,2.0,8.068493150684931,0.24787775891341257
chambch01,1.0,1.0,16.958904109589042,0.05896607431340872
chancde01,2.0,2.0,9.915068493150685,0.2017131804365847
chandsp01,1.0,4.0,10.397260273972602,0.3847167325428195
chapmar01,4.0,4.0,6.090410958904109,0.656770130454341
chapmbe01,4.0,4.0,16.084931506849315,0.24867995230795434
chapmsa01,1.0,1.0,13.361643835616439,0.07484109083452942
charlno01,1.0,1.0,13.142465753424657,0.07608922243068585
chrisru01,0.0,1.0,6.471232876712329,0.15453005927180355
cimolgi01,1.0,1.0,9.054794520547945,0.11043872919818457
cirilje01,2.0,2.0,13.397260273972602,0.14928425357873212
clancji01,1.0,1.0,14.205479452054794,0.0703953712632594
clarkja01,4.0,4.0,16.972602739726028,0.23567393058918482
clarkto02,1.0,1.0,13.865753424657534,0.07212013436079827
clarkwi02,6.0,6.0,14.493150684931507,0.41398865784499056
claytro01,1.0,1.0,16.03835616438356,0.062350529552442774
clearma01,1.0,2.0,11.123287671232877,0.17980295566502463
clemema01,1.0,1.0,7.7753424657534245,0.12861169837914024
clemero01,14.0,15.0,17.476712328767125,0.8582849976485342
clemero02,10.0,11.0,23.353424657534248,0.47102299389957764
cliftha01,0.0,1.0,11.435616438356165,0.08744609487302347
clippty01,2.0,2.0,9.375342465753425,0.21332554061952075
coateji01,1.0,2.0,11.03013698630137,0.18132141082960754
cochrmi01,1.0,2.0,12.12054794520548,0.16500904159132007
colavro01,9.0,9.0,13.06027397260274,0.6891126494650723
colbena01,3.0,3.0,10.473972602739726,0.28642427413026417
colboji01,0.0,1.0,9.224657534246575,0.10840510840510842
colege01,1.0,1.0,3.2575342465753425,0.3069806560134567
colemje01,1.0,1.0,8.449315068493151,0.11835278858625162
colemjo04,1.0,1.0,12.975342465753425,0.07706925675675676
colemjo05,0.0,1.0,13.997260273972604,0.07144255235858289
colemvi01,2.0,2.0,11.997260273972604,0.16670472710664533
colliri02,3.0,3.0,10.454794520547946,0.28694968553459116
colomal01,0.0,1.0,3.345205479452055,0.2989352989352989
colonba01,2.0,4.0,19.506849315068493,0.2050561797752809
conceda01,7.0,9.0,18.457534246575342,0.4876057592400178
coneda01,5.0,5.0,16.980821917808218,0.2944498225233947
conigto01,1.0,1.0,11.161643835616438,0.0895925380461463
coninje01,1.0,2.0,17.04931506849315,0.11730676522577535
conlege01,3.0,4.0,11.435616438356165,0.3497843794920939
consusa01,1.0,1.0,6.96986301369863,0.1434748427672956
contrjo01,0.0,1.0,10.164383561643836,0.09838274932614555
cookaa01,1.0,1.0,10.142465753424657,0.09859535386277687
cookry01,1.0,1.0,4.161643835616438,0.2402896642527979
coomero01,1.0,1.0,8.164383561643836,0.12248322147651006
coopece01,5.0,5.0,15.852054794520548,0.31541652264085723
coopemo01,2.0,4.0,10.652054794520549,0.37551440329218105
coopesc01,2.0,2.0,7.068493150684931,0.28294573643410853
coopewa01,6.0,8.0,16.997260273972604,0.4706640876853643
corajo01,1.0,1.0,11.484931506849316,0.08707061068702289
corbedo01,0.0,1.0,7.306849315068493,0.13685789276340457
corbipa01,1.0,1.0,4.421917808219178,0.22614622057001238
cordech01,1.0,1.0,6.863013698630137,0.14570858283433133
cordefr01,2.0,3.0,13.008219178082191,0.2306234203875316
cordewi01,1.0,1.0,12.991780821917809,0.07697174188106284
correke01,0.0,1.0,11.991780821917809,0.08339045007996344
coscape01,1.0,1.0,8.063013698630137,0.12402310567448183
craigal01,1.0,1.0,5.493150684931507,0.18204488778054861
crainje01,0.0,1.0,8.904109589041095,0.11230769230769232
cramedo01,3.0,5.0,18.660273972602738,0.2679489061811775
crandde01,8.0,11.0,17.284931506849315,0.6363924552226977
crawfbr01,1.0,1.0,5.3561643835616435,0.18670076726342713
crawfca02,4.0,4.0,13.882191780821918,0.28813893822774816
credejo01,1.0,1.0,9.008219178082191,0.11100973236009733
cronijo01,7.0,7.0,18.986301369863014,0.3686868686868687
crosefr01,1.0,2.0,16.487671232876714,0.12130275839149218
crowaa01,0.0,1.0,3.4986301369863013,0.28582615505090053
crowdal01,1.0,1.0,9.92054794520548,0.1008008837337752
crowege01,0.0,1.0,9.043835616438356,0.11057255377158437
cruzjo01,1.0,2.0,17.843835616438355,0.11208352525717796
cruzne02,3.0,4.0,11.046575342465754,0.3621031746031746
cuccito01,1.0,3.0,15.457534246575342,0.19408011343495216
cuddymi01,2.0,2.0,14.035616438356165,0.1424946320515323
cuellmi01,2.0,4.0,18.054794520547944,0.2215477996965099
cuetojo01,1.0,2.0,8.495890410958904,0.23540793292486295
cullero01,1.0,2.0,9.449315068493151,0.21165555233400984
culpra01,2.0,2.0,10.408219178082192,0.1921558304817057
cunnijo01,1.0,2.0,11.805479452054794,0.16941285681132515
cuyleki01,1.0,1.0,16.96986301369863,0.058927994833710036
dahlgba01,1.0,1.0,11.391780821917807,0.0877825877825878
daleybu01,2.0,4.0,8.882191780821918,0.45033929673041334
damonjo01,2.0,2.0,16.983561643835618,0.11776092918212615
danniha01,2.0,4.0,9.161643835616438,0.43660287081339716
darkal01,2.0,3.0,14.23013698630137,0.21082017712745477
darliro01,0.0,1.0,11.947945205479453,0.08369639990827792
